crop,region,month,quantity_kg,price_per_kg
Maize,Somalia,1,50.0,206.4
Beans,Zimbabwe,10,10.0,32.02
Maize,Mozambique,7,250.0,18.14
Irish Potato,Nigeria,2,25.0,917.06
Cassava,Congo (DRC),10,250.0,525.9
Coffee,Comoros,4,25.0,1896.02
Onion,Burkina Faso,3,25.0,326.87
Cassava,Tunisia,3,100.0,0.67
Cocoa,Zambia,1,100.0,74.49
Onion,Ghana,4,50.0,9.07
Rice,Niger,2,10.0,504.29
Cassava,Comoros,8,50.0,93.26
Tomato,Madagascar,5,500.0,2604.73
Tomato,Central African Republic,10,25.0,488.33
Cocoa,Djibouti,2,500.0,455.45
Plantain,Comoros,9,500.0,183.26
Rice,Angola,2,1000.0,679.11
Maize,Ethiopia,12,50.0,44.14
Irish Potato,Seychelles,1,10.0,8.0
Tomato,Morocco,12,1000.0,5.69
Onion,Tunisia,2,250.0,1.6
Maize,Guinea,10,250.0,2547.83
Rice,Rwanda,4,10.0,1229.21
Beans,Congo (DRC),1,1000.0,2894.57
Maize,Cabo Verde,5,500.0,31.59
Maize,Rwanda,4,1000.0,407.24
Cassava,Somalia,5,50.0,133.2
Onion,Guinea-Bissau,1,10.0,345.68
Plantain,Sao Tome and Principe,11,25.0,10.28
Onion,Libya,3,25.0,2.61
Beans,Comoros,2,10.0,561.65
Onion,Burundi,1,10.0,1628.25
Cassava,Benin,4,500.0,131.34
Beans,Cameroon,12,100.0,687.15
Rice,Morocco,8,10.0,7.27
Irish Potato,Congo (DRC),11,250.0,1393.93
Coffee,Congo (DRC),2,100.0,10884.14
Onion,Zimbabwe,10,10.0,16.01
Rice,Eswatini,12,50.0,13.92
Cassava,Togo,10,1000.0,95.51
Onion,Ghana,8,500.0,9.52
Coffee,Mozambique,11,25.0,198.11
Beans,South Sudan,5,25.0,3381.75
Rice,Equatorial Guinea,3,10.0,544.41
Cocoa,Chad,8,100.0,1996.67
Beans,Mauritius,5,1000.0,42.04
Maize,Chad,6,50.0,197.06
Tomato,Mali,6,10.0,411.65
Maize,Kenya,9,50.0,40.11
Cassava,Zambia,8,25.0,5.32
Beans,Cameroon,8,100.0,587.21
Cassava,Cote d'Ivoire,3,100.0,126.81
Maize,Egypt,11,1000.0,14.0
Tomato,Comoros,2,1000.0,260.02
Irish Potato,Eswatini,6,500.0,7.29
Cocoa,Eswatini,5,500.0,55.93
Beans,Equatorial Guinea,3,250.0,598.49
Irish Potato,Algeria,2,1000.0,63.35
Maize,Mauritania,6,250.0,11.66
Plantain,Egypt,1,1000.0,18.86
Irish Potato,Namibia,2,100.0,9.49
Coffee,Botswana,4,50.0,52.06
Cassava,Mozambique,4,1000.0,13.08
Plantain,Eritrea,5,250.0,7.16
Cassava,Tunisia,4,50.0,0.66
Cassava,Chad,12,1000.0,102.95
Onion,Mozambique,11,25.0,36.3
Plantain,Sudan,1,25.0,302.53
Onion,Liberia,5,1000.0,99.89
Maize,Cabo Verde,2,1000.0,30.99
Cassava,South Africa,9,500.0,3.56
Plantain,Gabon,8,50.0,243.13
Irish Potato,Nigeria,6,1000.0,575.31
Maize,Egypt,7,100.0,15.21
Beans,Guinea,8,500.0,8674.42
Plantain,Algeria,11,100.0,58.54
Onion,Togo,1,50.0,330.56
Plantain,Kenya,12,100.0,62.48
Cassava,Tanzania,6,1000.0,542.18
Beans,Malawi,1,10.0,2013.0
Plantain,Guinea,4,250.0,4466.31
Beans,Nigeria,10,50.0,1788.41
Beans,Mauritius,11,25.0,58.5
Maize,South Africa,12,250.0,5.77
Onion,Guinea,4,50.0,4705.01
Tomato,Mauritius,12,10.0,31.5
Rice,Rwanda,8,500.0,960.82
Onion,Equatorial Guinea,3,50.0,305.53
Coffee,Ghana,2,10.0,55.02
Beans,Namibia,7,25.0,17.18
Beans,Benin,3,100.0,670.89
Tomato,Sierra Leone,8,500.0,16139.66
Cassava,Mauritius,10,25.0,8.06
Cocoa,Burkina Faso,12,100.0,1518.16
Coffee,Sudan,2,100.0,2316.24
Tomato,Ethiopia,5,50.0,82.35
Irish Potato,Togo,10,500.0,273.96
Irish Potato,Sao Tome and Principe,9,50.0,10.59
Cassava,Libya,2,10.0,0.99
Coffee,Niger,12,25.0,2058.24
Rice,Mozambique,9,500.0,41.83
Plantain,South Sudan,9,50.0,1156.11
Cassava,Liberia,8,1000.0,35.74
Coffee,Mali,4,500.0,2506.29
Cocoa,South Sudan,7,50.0,10507.11
Irish Potato,Mali,11,50.0,308.58
Irish Potato,Botswana,8,25.0,5.93
Tomato,Tanzania,4,100.0,1717.65
Cassava,Libya,7,500.0,1.08
Tomato,Cabo Verde,8,1000.0,61.51
Plantain,Benin,5,500.0,294.59
Cocoa,Botswana,12,500.0,32.79
Maize,Ghana,10,1000.0,3.8
Irish Potato,Botswana,8,250.0,5.75
Cocoa,Madagascar,4,1000.0,11877.33
Onion,Burundi,5,25.0,1768.96
Cassava,Zimbabwe,2,10.0,5.34
Irish Potato,Senegal,4,10.0,309.79
Onion,Sudan,12,500.0,311.41
Irish Potato,Mozambique,12,50.0,35.08
Rice,Equatorial Guinea,2,25.0,515.46
Tomato,Namibia,10,1000.0,11.66
Beans,Uganda,11,250.0,4532.59
Maize,Togo,3,50.0,203.47
Maize,Morocco,11,500.0,3.05
Rice,Namibia,7,10.0,14.27
Coffee,Uganda,5,1000.0,14186.41
Cassava,Angola,10,50.0,171.17
Rice,Sao Tome and Principe,3,10.0,22.89
Cassava,Cameroon,9,100.0,109.68
Maize,Benin,9,10.0,182.61
Rice,Sao Tome and Principe,5,1000.0,15.76
Onion,Ghana,12,50.0,7.73
Onion,Eswatini,10,500.0,10.75
Tomato,Sudan,11,25.0,452.96
Rice,Congo (Republic),5,10.0,562.17
Onion,Madagascar,5,500.0,2558.18
Rice,Zimbabwe,11,1000.0,14.75
Tomato,South Sudan,7,25.0,2103.37
Cocoa,Sudan,12,500.0,1342.04
Coffee,Kenya,10,500.0,393.04
Rice,Cameroon,3,10.0,537.13
Tomato,Mauritius,8,100.0,35.78
Plantain,Mozambique,7,50.0,28.73
Irish Potato,Mauritania,9,500.0,17.54
Onion,Liberia,5,500.0,107.63
Irish Potato,Somalia,5,10.0,267.78
Cocoa,Liberia,10,10.0,545.29
Plantain,Nigeria,6,100.0,739.93
Cassava,Equatorial Guinea,6,25.0,153.42
Rice,Ghana,7,250.0,11.66
Beans,Nigeria,2,25.0,1970.72
Beans,Central African Republic,6,250.0,603.3
Rice,Libya,7,500.0,3.96
Cocoa,Equatorial Guinea,10,50.0,1765.02
Onion,Madagascar,3,10.0,2182.08
Cocoa,Liberia,11,100.0,538.77
Cassava,Gabon,12,50.0,115.69
Onion,Malawi,2,100.0,861.61
Irish Potato,Tunisia,11,25.0,1.35
Coffee,Seychelles,9,1000.0,38.47
Tomato,Angola,12,25.0,624.36
Onion,Somalia,11,250.0,325.34
Beans,Madagascar,12,25.0,6737.8
Plantain,Angola,4,250.0,413.83
Coffee,Namibia,7,50.0,65.8
Beans,Nigeria,2,10.0,1975.14
Onion,Morocco,7,50.0,5.76
Beans,Central African Republic,1,25.0,673.71
Plantain,Mauritania,6,25.0,19.69
Coffee,Egypt,3,50.0,196.93
Beans,Seychelles,9,1000.0,12.02
Rice,Benin,5,25.0,555.55
Irish Potato,South Africa,12,10.0,10.31
Cocoa,Mali,4,100.0,1829.93
Plantain,Angola,9,500.0,279.31
Tomato,South Africa,6,100.0,12.13
Cassava,Somalia,7,10.0,127.41
Irish Potato,Sierra Leone,10,100.0,10879.78
Plantain,Morocco,2,250.0,5.07
Irish Potato,Cameroon,9,1000.0,271.8
Plantain,Libya,7,25.0,2.18
Plantain,Mauritania,8,500.0,15.37
Irish Potato,South Sudan,3,50.0,1552.49
Irish Potato,Algeria,2,500.0,69.04
Rice,Malawi,6,25.0,1594.84
Irish Potato,Somalia,8,1000.0,210.96
Tomato,Zimbabwe,8,25.0,20.47
Plantain,Cote d'Ivoire,2,25.0,314.61
Maize,Congo (Republic),7,50.0,173.76
Coffee,South Africa,3,250.0,72.2
Irish Potato,Cameroon,5,500.0,249.85
Beans,Djibouti,3,10.0,188.37
Plantain,Ethiopia,10,250.0,50.29
Cassava,Guinea-Bissau,7,100.0,129.56
Plantain,Guinea,3,250.0,4567.84
Maize,Burkina Faso,6,250.0,169.97
Cocoa,Algeria,1,25.0,332.62
Tomato,Equatorial Guinea,12,250.0,462.43
Maize,Senegal,2,50.0,214.38
Onion,Sierra Leone,4,50.0,11962.51
Irish Potato,Libya,6,1000.0,1.92
Onion,Congo (DRC),9,500.0,1553.39
Cocoa,Central African Republic,1,250.0,1601.43
Tomato,Madagascar,4,500.0,2770.47
Onion,Namibia,9,50.0,11.87
Beans,Gabon,7,1000.0,544.77
Onion,Burundi,6,250.0,1677.28
Beans,Togo,12,250.0,746.02
Irish Potato,Mali,12,500.0,321.8
Rice,Somalia,7,100.0,473.77
Plantain,Botswana,2,100.0,6.77
Coffee,South Sudan,5,500.0,13637.39
Rice,Senegal,12,250.0,459.21
Tomato,Mauritius,7,10.0,35.88
Coffee,Central African Republic,6,500.0,2461.3
Irish Potato,Uganda,6,1000.0,1380.06
Irish Potato,Cameroon,8,1000.0,237.53
Tomato,Sudan,10,25.0,509.85
Plantain,Togo,3,25.0,338.96
Maize,Guinea-Bissau,4,10.0,205.99
Coffee,Zimbabwe,5,1000.0,94.44
Tomato,Egypt,9,25.0,40.4
Beans,Guinea-Bissau,10,10.0,696.19
Cocoa,Zimbabwe,10,100.0,73.75
Cocoa,Gambia,7,10.0,231.92
Beans,Liberia,9,100.0,219.81
Maize,South Africa,10,25.0,5.66
Rice,Benin,12,10.0,484.67
Cassava,Sierra Leone,2,1000.0,4072.8
Cocoa,Gambia,4,25.0,220.91
Cocoa,Eritrea,12,1000.0,31.15
Irish Potato,Congo (Republic),1,50.0,338.7
Rice,Togo,1,10.0,501.14
Maize,Chad,2,500.0,208.96
Irish Potato,Mauritius,8,50.0,19.12
Tomato,South Sudan,1,25.0,2094.6
Tomato,Malawi,8,10.0,1243.02
Onion,Sierra Leone,7,100.0,15189.7
Cocoa,Eswatini,1,500.0,43.78
Maize,Cabo Verde,1,250.0,30.85
Tomato,Zambia,9,50.0,20.65
Maize,Madagascar,1,250.0,1594.15
Plantain,Madagascar,9,25.0,1681.87
Cassava,South Africa,9,100.0,3.31
Cassava,Zambia,1,10.0,5.83
Coffee,Mauritania,8,10.0,148.79
Beans,Djibouti,3,1000.0,172.58
Maize,Senegal,6,50.0,187.27
Plantain,South Sudan,6,10.0,1426.08
Plantain,Ethiopia,2,250.0,55.49
Coffee,Botswana,3,50.0,52.33
Coffee,Libya,1,10.0,17.8
Rice,Morocco,4,500.0,8.73
Cassava,Eritrea,11,25.0,2.81
Onion,Comoros,11,25.0,253.44
Onion,Comoros,10,25.0,302.08
Beans,Morocco,4,250.0,10.22
Rice,Senegal,9,50.0,458.34
Cocoa,Rwanda,10,500.0,3494.65
Tomato,Ethiopia,12,25.0,86.01
Cassava,Burundi,7,100.0,669.7
Cassava,Algeria,4,1000.0,25.18
Maize,Malawi,12,50.0,626.31
Cassava,Tanzania,11,250.0,424.66
Irish Potato,Guinea-Bissau,12,50.0,335.74
Onion,Zambia,5,50.0,15.52
Irish Potato,Guinea,10,50.0,3748.44
Plantain,Nigeria,8,50.0,711.65
Coffee,Guinea,1,10.0,29709.1
Rice,Sierra Leone,8,250.0,16244.72
Maize,Rwanda,1,500.0,456.9
Irish Potato,Mauritius,10,250.0,22.7
Cassava,Cameroon,11,25.0,105.6
Irish Potato,Benin,2,50.0,313.82
Onion,Central African Republic,12,100.0,365.82
Maize,Liberia,6,100.0,61.29
Beans,Comoros,4,25.0,455.58
Rice,Gambia,1,50.0,55.66
Tomato,South Africa,7,10.0,13.63
Coffee,Cote d'Ivoire,4,25.0,2571.51
Rice,Niger,5,25.0,518.72
Beans,Guinea-Bissau,11,25.0,769.02
Maize,Cameroon,7,100.0,153.7
Cocoa,Lesotho,2,50.0,57.19
Beans,Guinea,6,1000.0,6179.62
Coffee,Somalia,10,25.0,1823.18
Maize,Burkina Faso,8,50.0,174.11
Maize,South Africa,6,100.0,5.6
Maize,Chad,6,10.0,183.98
Tomato,Chad,7,10.0,469.18
Onion,Zambia,5,250.0,14.95
Tomato,Somalia,3,25.0,331.76
Rice,Ethiopia,4,1000.0,97.23
Coffee,Mozambique,10,10.0,230.18
Irish Potato,Cote d'Ivoire,2,1000.0,275.99
Onion,Benin,6,250.0,366.97
Rice,South Africa,3,10.0,15.33
Beans,Benin,3,10.0,741.7
Maize,Congo (DRC),8,250.0,744.63
Maize,Angola,5,500.0,287.76
Onion,Mozambique,3,500.0,31.92
Rice,Senegal,9,25.0,450.32
Beans,Burkina Faso,12,500.0,744.13
Irish Potato,Liberia,3,1000.0,76.12
Rice,Tanzania,7,500.0,2209.71
Cocoa,Togo,12,1000.0,1334.18
Tomato,Seychelles,4,500.0,7.84
Irish Potato,Egypt,6,1000.0,19.7
Coffee,Lesotho,11,100.0,54.92
Rice,Rwanda,11,10.0,1003.06
Beans,South Africa,1,50.0,20.1
Cocoa,Central African Republic,4,500.0,1883.21
Cocoa,Central African Republic,2,250.0,1696.78
Maize,Libya,5,250.0,1.58
Onion,Mauritania,12,25.0,22.06
Irish Potato,South Sudan,4,10.0,1386.48
Rice,Chad,11,500.0,450.06
Cassava,Gambia,1,25.0,14.26
Maize,Uganda,4,100.0,1100.41
Cocoa,Sao Tome and Principe,11,50.0,64.05
Plantain,Eswatini,6,25.0,8.85
Plantain,Sudan,12,1000.0,240.89
Rice,Guinea-Bissau,5,25.0,540.29
Coffee,Uganda,6,500.0,14065.72
Onion,Togo,2,500.0,291.68
Irish Potato,Djibouti,11,100.0,86.34
Beans,Tunisia,2,100.0,3.84
Plantain,Eswatini,2,250.0,8.86
Beans,Cabo Verde,12,1000.0,116.7
Onion,Guinea,3,25.0,4392.91
Tomato,Niger,6,1000.0,351.21
Rice,Zambia,4,250.0,24.35
Onion,Congo (DRC),5,50.0,1631.98
Cassava,Egypt,10,100.0,8.88
Tomato,Sudan,5,250.0,387.97
Onion,Chad,3,1000.0,268.07
Tomato,Cabo Verde,12,1000.0,57.94
Beans,Cameroon,7,250.0,610.78
Tomato,Cameroon,5,250.0,387.1
Beans,Seychelles,6,25.0,12.11
Plantain,Sierra Leone,11,25.0,10580.93
Tomato,Algeria,1,100.0,93.86
Tomato,Rwanda,8,1000.0,863.99
Beans,Mozambique,2,25.0,75.49
Rice,Sao Tome and Principe,7,100.0,19.15
Plantain,Libya,12,25.0,2.38
Rice,Comoros,2,1000.0,315.29
Tomato,Eswatini,8,100.0,14.07
Beans,Seychelles,4,10.0,14.55
Cassava,Cabo Verde,3,50.0,23.28
Coffee,Cameroon,12,50.0,2071.54
Rice,Burundi,8,1000.0,2264.02
Onion,Gabon,2,100.0,309.04
Cocoa,South Sudan,3,250.0,8132.9
Onion,Togo,8,500.0,389.5
Cocoa,Congo (Republic),1,25.0,1552.31
Plantain,Kenya,1,250.0,61.48
Tomato,Egypt,1,25.0,35.14
Beans,Djibouti,4,250.0,171.34
Irish Potato,Kenya,2,500.0,65.1
Maize,Nigeria,12,25.0,586.27
Rice,Nigeria,9,25.0,1103.18
Beans,South Sudan,5,25.0,2853.89
Onion,Uganda,10,1000.0,1916.15
Maize,Mauritania,10,1000.0,10.88
Plantain,Cabo Verde,1,10.0,49.99
Cassava,Ghana,6,25.0,3.94
Onion,Sao Tome and Principe,2,100.0,10.57
Irish Potato,Rwanda,1,1000.0,651.93
Coffee,Cote d'Ivoire,1,250.0,2109.91
Cassava,Zimbabwe,5,25.0,6.16
Rice,South Africa,7,25.0,15.81
Maize,Algeria,8,100.0,33.66
Tomato,Gabon,3,250.0,356.01
Maize,Eritrea,4,250.0,4.99
Coffee,Senegal,3,10.0,2458.33
Cassava,Benin,9,250.0,124.0
Irish Potato,Seychelles,1,25.0,7.99
Cassava,Sao Tome and Principe,3,25.0,4.77
Onion,Rwanda,11,250.0,834.96
Rice,Equatorial Guinea,1,1000.0,438.5
Rice,Benin,11,25.0,470.54
Tomato,Zimbabwe,3,50.0,15.28
Maize,Liberia,3,10.0,68.49
Beans,Zimbabwe,4,250.0,25.3
Plantain,Guinea-Bissau,7,25.0,297.76
Coffee,Mali,1,100.0,2059.1
Cassava,Tanzania,3,25.0,613.03
Irish Potato,Liberia,9,25.0,88.42
Coffee,Angola,1,100.0,3015.41
Coffee,Egypt,4,1000.0,184.94
Maize,South Africa,12,10.0,6.34
Tomato,Gabon,6,500.0,402.14
Plantain,Sudan,8,25.0,250.26
Beans,Ethiopia,2,10.0,133.17
Plantain,Guinea,12,250.0,3704.19
Irish Potato,Liberia,8,250.0,81.82
Cassava,Niger,1,100.0,118.29
Cassava,Mauritania,5,100.0,10.36
Coffee,Sao Tome and Principe,5,1000.0,81.32
Rice,Somalia,12,250.0,458.81
Cassava,Chad,5,100.0,144.12
Plantain,Algeria,1,1000.0,48.68
Rice,Liberia,9,25.0,153.03
Beans,Guinea,4,500.0,8963.05
Cocoa,Djibouti,5,10.0,602.77
Plantain,Algeria,11,10.0,60.78
Rice,Central African Republic,10,500.0,413.14
Onion,South Sudan,2,25.0,1591.18
Rice,Algeria,6,500.0,106.52
Beans,Liberia,2,10.0,244.1
Irish Potato,Cabo Verde,4,50.0,52.56
Coffee,Cote d'Ivoire,1,25.0,2119.1
Rice,Djibouti,3,10.0,155.36
Onion,Algeria,3,1000.0,59.14
Plantain,Mali,5,25.0,311.77
Onion,Namibia,8,10.0,12.18
Onion,Mali,3,500.0,298.3
Beans,Cabo Verde,12,250.0,127.83
Maize,Gabon,8,10.0,160.66
Plantain,Congo (DRC),9,50.0,1108.95
Maize,Burundi,1,10.0,1052.13
Coffee,Togo,3,50.0,2329.36
Plantain,Zimbabwe,8,250.0,10.3
Cassava,Libya,12,50.0,0.88
Irish Potato,Uganda,7,500.0,1414.89
Beans,Eritrea,9,1000.0,14.32
Cocoa,South Africa,12,25.0,48.65
Irish Potato,Sierra Leone,12,100.0,12775.27
Cocoa,South Africa,1,50.0,51.02
Onion,Liberia,6,100.0,113.95
Maize,Cameroon,5,100.0,199.96
Onion,Angola,2,100.0,457.44
Tomato,Sudan,6,250.0,378.14
Plantain,Congo (Republic),4,50.0,316.67
Cocoa,Sudan,5,100.0,2062.91
Plantain,Guinea-Bissau,10,10.0,258.41
Cocoa,Somalia,5,100.0,1924.36
Irish Potato,Eswatini,6,10.0,7.87
Plantain,Malawi,11,25.0,832.72
Beans,Zambia,1,10.0,30.57
Cocoa,Lesotho,6,25.0,61.94
Plantain,Mauritania,6,25.0,19.27
Onion,South Sudan,11,50.0,1804.01
Maize,Mauritius,5,500.0,12.02
Beans,South Africa,7,250.0,16.47
Cocoa,Gambia,1,50.0,184.89
Maize,Cabo Verde,4,50.0,33.87
Rice,Angola,4,25.0,856.41
Maize,Mali,8,500.0,153.16
Irish Potato,South Sudan,3,500.0,1572.26
Onion,Zambia,2,10.0,12.41
Cassava,Seychelles,5,50.0,3.55
Tomato,Ethiopia,4,10.0,75.8
Coffee,Burundi,5,10.0,11704.98
Maize,Libya,10,100.0,1.46
Tomato,Algeria,6,25.0,93.45
Plantain,Togo,6,100.0,284.08
Rice,Sierra Leone,4,1000.0,18419.38
Cocoa,Cote d'Ivoire,12,10.0,1666.02
Plantain,Togo,12,250.0,270.47
Cocoa,Morocco,1,500.0,26.79
Beans,Somalia,4,50.0,620.48
Maize,Mali,11,100.0,182.88
Maize,Liberia,7,50.0,58.53
Maize,Madagascar,3,50.0,1544.91
Cassava,Gabon,1,50.0,130.85
Cassava,Botswana,7,250.0,2.88
Maize,Guinea-Bissau,8,500.0,155.6
Cassava,South Africa,5,50.0,4.86
Maize,Nigeria,8,250.0,423.37
Tomato,Madagascar,7,500.0,3031.25
Tomato,Malawi,12,25.0,1196.77
Rice,Mozambique,4,100.0,59.71
Maize,Sudan,4,500.0,193.89
Maize,Uganda,9,50.0,1124.33
Irish Potato,Chad,8,50.0,252.97
Tomato,Burundi,9,100.0,2261.13
Irish Potato,Morocco,8,25.0,4.02
Maize,Zambia,5,250.0,8.04
Rice,Lesotho,6,10.0,16.58
Rice,Malawi,9,10.0,1352.19
Irish Potato,Mauritius,2,500.0,25.9
Plantain,Mauritius,2,25.0,22.83
Cassava,Gambia,11,25.0,13.06
Cassava,Morocco,5,1000.0,2.03
Irish Potato,Niger,7,1000.0,198.21
Tomato,Eswatini,4,250.0,10.93
Maize,Ghana,7,25.0,4.98
Rice,Zimbabwe,11,50.0,17.79
Beans,Ghana,4,10.0,15.0
Irish Potato,Congo (Republic),3,50.0,334.26
Cassava,Cabo Verde,4,25.0,23.67
Rice,Burkina Faso,2,50.0,505.49
Rice,Ethiopia,4,100.0,109.1
Beans,Mozambique,9,100.0,67.5
Rice,Malawi,4,100.0,1745.43
Tomato,Congo (Republic),6,100.0,409.83
Cocoa,Eritrea,9,250.0,47.41
Coffee,Botswana,11,250.0,41.96
Maize,Sierra Leone,9,1000.0,5342.55
Cocoa,Ghana,9,25.0,42.67
Beans,Mauritius,4,250.0,49.6
Coffee,Botswana,10,25.0,46.6
Tomato,Cabo Verde,10,1000.0,65.17
Cocoa,Mauritania,7,1000.0,118.83
Irish Potato,Libya,9,250.0,2.04
Maize,Kenya,8,500.0,36.39
Cocoa,Sierra Leone,10,1000.0,52739.21
Beans,Sao Tome and Principe,3,250.0,23.23
Beans,Rwanda,1,500.0,1545.25
Coffee,Eswatini,1,250.0,60.96
Irish Potato,Mauritania,8,500.0,16.06
Plantain,Ghana,6,100.0,6.89
Cassava,Chad,5,25.0,150.04
Tomato,Equatorial Guinea,1,1000.0,374.44
Beans,Rwanda,12,250.0,1658.34
Onion,Morocco,1,250.0,4.95
Cocoa,Malawi,8,10.0,5541.98
Cassava,Nigeria,12,100.0,304.16
Cassava,Mauritania,12,50.0,7.43
Cocoa,Rwanda,12,500.0,3167.98
Cocoa,Tanzania,12,250.0,7228.78
Rice,Cabo Verde,11,250.0,67.19
Maize,Kenya,4,50.0,41.77
Tomato,Ethiopia,3,1000.0,56.75
Rice,Chad,10,250.0,399.97
Onion,Burundi,12,100.0,1627.66
Plantain,Mauritania,10,100.0,16.91
Cocoa,Ethiopia,9,25.0,356.51
Cassava,Malawi,10,10.0,340.11
Cocoa,Comoros,10,500.0,1288.65
Onion,Zambia,1,1000.0,11.69
Rice,Senegal,12,50.0,470.53
Tomato,Mauritania,10,10.0,30.87
Plantain,Botswana,12,10.0,6.38
Irish Potato,Tanzania,4,100.0,1237.24
Tomato,South Africa,11,500.0,12.49
Cocoa,South Sudan,7,500.0,8398.5
Maize,Tanzania,7,250.0,755.35
Maize,Tanzania,9,100.0,737.74
Tomato,Benin,4,10.0,390.26
Plantain,Botswana,12,1000.0,5.37
Rice,Nigeria,9,25.0,1209.44
Plantain,Gabon,7,10.0,278.36
Maize,Madagascar,7,1000.0,970.56
Cocoa,Eswatini,12,100.0,50.45
Maize,Cote d'Ivoire,8,250.0,159.63
Cocoa,Algeria,8,25.0,463.37
Beans,Cabo Verde,7,25.0,100.11
Tomato,Burundi,10,500.0,2122.85
Cassava,Tunisia,2,250.0,0.61
Beans,Burkina Faso,6,25.0,531.3
Coffee,Uganda,2,50.0,14686.64
Beans,Liberia,6,50.0,170.94
Rice,Congo (DRC),7,50.0,2230.14
Maize,Cabo Verde,1,50.0,32.83
Cocoa,Cameroon,12,250.0,1485.37
Beans,Chad,11,10.0,736.6
Tomato,Botswana,5,50.0,9.42
Cocoa,Nigeria,7,1000.0,4198.67
Maize,Nigeria,2,250.0,550.41
Onion,Equatorial Guinea,5,100.0,329.04
Rice,Guinea-Bissau,10,25.0,399.41
Rice,Cabo Verde,4,1000.0,82.2
Cassava,South Africa,5,500.0,3.84
Coffee,Morocco,9,500.0,36.53
Cassava,Djibouti,2,25.0,38.79
Rice,Kenya,9,250.0,88.11
Beans,Senegal,11,250.0,702.66
Onion,Kenya,4,50.0,66.4
Irish Potato,Algeria,11,50.0,68.79
Cocoa,Malawi,11,10.0,4712.16
Rice,Benin,12,250.0,423.28
Tomato,Eswatini,6,25.0,12.76
Plantain,Mali,9,250.0,224.47
Irish Potato,Sierra Leone,8,1000.0,8462.4
Beans,Niger,11,25.0,718.86
Irish Potato,Gambia,8,10.0,32.93
Plantain,South Sudan,3,50.0,1776.29
Cocoa,Eritrea,10,100.0,46.87
Beans,Equatorial Guinea,12,100.0,756.43
Coffee,Cameroon,12,50.0,2096.73
Beans,Namibia,7,10.0,15.94
Cassava,Nigeria,10,25.0,306.69
Rice,Nigeria,3,500.0,1416.87
Irish Potato,South Sudan,7,500.0,1269.81
Rice,Senegal,5,500.0,476.43
Cassava,Malawi,1,500.0,292.47
Cocoa,Mali,11,500.0,1691.52
Rice,South Sudan,11,1000.0,1897.49
Tomato,Central African Republic,12,250.0,388.2
Tomato,Malawi,6,500.0,1173.32
Maize,Ghana,5,500.0,4.59
Beans,Libya,6,10.0,4.61
Cassava,Madagascar,2,500.0,876.35
Cocoa,Ethiopia,2,10.0,356.06
Cocoa,Zambia,12,1000.0,56.46
Beans,Cote d'Ivoire,11,100.0,757.1
Rice,Ethiopia,3,10.0,106.53
Coffee,Djibouti,8,50.0,644.11
Plantain,Mozambique,5,100.0,31.29
Onion,Madagascar,1,100.0,2429.48
Rice,Uganda,8,10.0,2921.44
Cassava,Nigeria,10,250.0,300.82
Cocoa,Algeria,7,1000.0,407.2
Coffee,Gambia,8,100.0,265.82
Cocoa,Chad,5,250.0,1963.27
Coffee,Seychelles,12,250.0,41.95
Plantain,Somalia,11,10.0,268.65
Cocoa,Nigeria,12,25.0,4327.97
Cassava,Congo (DRC),6,25.0,634.77
Irish Potato,Cameroon,7,250.0,253.45
Irish Potato,Angola,3,50.0,479.99
Irish Potato,Zimbabwe,12,50.0,15.37
Irish Potato,Comoros,8,50.0,226.94
Plantain,Seychelles,12,50.0,6.4
Cocoa,Lesotho,5,500.0,57.67
Tomato,Egypt,6,250.0,33.98
Maize,Kenya,9,1000.0,32.35
Maize,Comoros,11,500.0,145.12
Onion,Libya,7,100.0,3.27
Rice,Mauritania,9,100.0,28.56
Rice,Guinea-Bissau,5,1000.0,493.5
Rice,Benin,10,1000.0,375.74
Coffee,Madagascar,3,10.0,17309.04
Tomato,Benin,12,50.0,422.43
Rice,Togo,9,50.0,463.34
Plantain,Togo,5,10.0,316.49
Cocoa,Nigeria,3,500.0,4426.78
Rice,Mozambique,7,250.0,47.22
Tomato,Nigeria,1,10.0,1047.16
Irish Potato,Cameroon,2,1000.0,283.79
Rice,Sierra Leone,12,10.0,16698.89
Cocoa,Comoros,3,50.0,1392.44
Tomato,Somalia,10,25.0,445.15
Onion,Zimbabwe,8,250.0,15.7
Onion,Togo,5,250.0,313.96
Irish Potato,Mozambique,2,1000.0,30.23
Rice,Libya,10,100.0,3.22
Cocoa,Seychelles,10,10.0,40.01
Cassava,Gabon,7,25.0,131.46
Irish Potato,Mauritius,4,50.0,21.9
Cocoa,South Sudan,1,1000.0,6750.35
Onion,Eritrea,3,10.0,8.29
Beans,Gambia,12,1000.0,82.45
Plantain,Eswatini,2,1000.0,8.08
Tomato,Djibouti,8,50.0,145.19
Maize,Sudan,6,50.0,194.43
Plantain,Gambia,12,1000.0,28.16
Coffee,Lesotho,1,10.0,64.93
Tomato,Madagascar,6,25.0,3199.13
Cassava,Benin,5,50.0,147.13
Maize,Eswatini,9,100.0,5.22
Rice,Cameroon,1,10.0,484.73
Plantain,Uganda,9,250.0,1464.02
Cocoa,Gabon,10,250.0,1696.89
Maize,Djibouti,4,250.0,57.86
Irish Potato,Senegal,9,1000.0,248.45
Beans,Chad,2,10.0,675.72
Cocoa,Seychelles,6,1000.0,38.68
